s,pdc,odc,effect,target_val,price
1,15,11,13.79659928,1096,0
2,34,22,14.46427284,1455,0
3,34,22,14.46427284,1555,0
4,34,22,14.46427284,1786,0
5,34,22,14.46427284,1972,0
6,34,22,14.46427284,2022,0
7,34,22,14.46427284,2039,0
8,46,31,18.11089959,3037,0
9,46,31,18.11089959,3328,0
10,46,31,18.11089959,3410,0
11,46,31,18.11089959,3565,0
12,46,31,18.11089959,3569,0
13,46,31,18.11089959,6398,0
14,46,31,18.11089959,6475,0
15,46,31,18.11089959,6611,0
16,46,31,18.11089959,6884,0
17,47,31,18.11089959,7092,0
18,47,31,18.11089959,7137,0
19,47,31,18.11089959,7514,0
20,47,31,18.11089959,7515,0
21,48,33,18.68364039,8095,0
22,48,33,18.68364039,8125,0
23,48,33,18.68364039,8232,0
24,48,33,18.68364039,8761,0
25,48,33,18.68364039,8781,0
26,48,33,18.68364039,9993,0
27,50,35,19.33981151,11358,0
28,50,35,19.33981151,12257,0
29,50,35,19.33981151,12298,0
30,50,35,19.33981151,12853,0
31,50,35,19.33981151,12919,0
32,50,35,19.33981151,13130,0
33,50,35,19.33981151,13222,0
34,50,35,19.33981151,13222,0
35,51,34,18.79495289,13569,0
36,52,35,18.80045636,13576,0
37,52,34,18.50969919,14165,0
38,52,34,18.50969919,14411,0
39,52,34,18.50969919,15203,0
40,52,34,18.50969919,15224,0
41,52,34,18.50969919,15225,0
42,54,35,19.18565488,15412,0
43,54,35,19.18565488,15467,0
44,54,35,19.18565488,15467,0
45,54,35,19.18565488,15488,0
46,58,37,19.41840556,15818,0
47,58,37,19.41840556,16052,0
48,58,37,19.41840556,16154,0
49,57,37,19.41840556,16428,0
50,57,37,19.41840556,16428,0
51,56,36,19.4047288,16551,0
52,55,36,19.4047288,16552,0
53,56,37,19.53010249,16866,0
54,59,38,19.64641154,17084,0
55,58,37,19.41706894,17101,0
56,58,37,19.41706894,17119,0
57,58,37,19.41706894,17201,0
58,59,38,19.48338883,17299,0
59,59,38,19.48338883,17299,0
60,58,37,19.47788536,17436,0
61,58,37,19.47788536,17438,0
62,57,37,19.47788536,17438,0
63,56,37,19.47788536,17467,0
64,56,37,19.47788536,17588,0
65,55,36,19.30819713,17589,0
66,55,36,19.30819713,17600,0
67,55,36,19.30819713,17600,0
68,55,36,19.30819713,17831,0
69,54,36,19.30819713,18535,0
70,55,38,19.79157885,18546,0
71,54,38,19.79157885,18546,0
72,53,37,19.72525896,18569,0
73,53,37,19.72525896,18569,0
74,53,37,19.72525896,18792,0
75,52,37,19.72525896,18927,0
76,52,36,19.43984841,18974,0
77,60,42,20.20269721,19132,0
78,60,42,20.20269721,19221,0
79,59,42,20.20269721,19334,0
80,59,42,20.20269721,19334,0
81,58,41,19.9614806,19358,0
82,58,41,19.9614806,19456,0
83,58,41,19.9614806,19592,0
84,57,40,19.6236919,19592,0
85,57,40,19.6236919,20539,0
86,56,39,19.17925718,20606,0
87,55,39,19.17925718,20618,0
88,55,39,19.17925718,20819,0
89,54,38,19.13802816,20861,0
90,56,38,19.11699423,21137,0
91,55,38,19.11699423,21234,0
92,55,38,19.11699423,21235,0
93,55,38,19.11699423,21245,0
94,54,37,18.79751312,21265,0
95,54,37,18.79751312,21265,0
96,57,37,19.23132395,21522,0
97,57,36,19.20344176,21675,0
98,56,35,19.17035419,21753,0
99,55,34,19.03195795,21778,0
100,54,33,18.45045007,21985,0
101,54,33,18.45045007,22187,0
102,53,33,18.45045007,22647,0
103,54,33,18.45045007,23489,0
104,53,33,18.45045007,23517,0
105,53,33,18.45045007,23703,0
106,52,33,18.45045007,23703,0
107,52,33,18.45045007,23703,0
108,51,32,18.4434762,23703,0
109,51,32,18.4434762,23774,0
110,50,31,18.41251716,23916,0
111,50,31,18.41251716,24007,0
112,49,30,18.37357016,24011,0
113,48,29,17.44092843,24011,0
114,48,29,17.44092843,24011,0
115,47,29,17.44092843,24017,0
116,47,29,17.44092843,24020,0
117,47,29,17.44092843,24061,0
118,47,29,17.44092843,24158,0
119,48,30,18.82187847,24238,0
120,48,30,18.82187847,24238,0
121,47,29,18.76824167,24538,0
122,47,29,18.76824167,24695,0
123,47,29,18.76824167,24974,0
124,47,29,18.76824167,25055,0
125,47,29,18.76824167,25156,0
126,49,31,20.08000858,25483,0
127,49,31,20.08000858,25483,0
128,49,31,20.08000858,25510,0
129,54,36,21.90812276,26033,0
130,54,36,21.90812276,26033,0
131,54,36,21.90812276,26046,0
132,53,35,21.53736219,26046,0
133,53,35,21.53736219,26089,0
134,53,35,21.53736219,26182,0
135,53,35,21.53736219,26244,0
136,52,34,20.34877291,26246,0
137,51,33,20.25885237,26281,0
138,50,32,19.91161779,26304,0
139,60,34,20.15909936,26639,0
140,60,34,20.15909936,26666,0
141,62,35,20.44559514,26885,0
142,63,34,20.25765165,27039,0
143,63,34,20.25765165,27242,0
144,63,34,20.25765165,27316,0
145,63,34,20.25765165,27366,0
146,64,36,20.45662922,27371,0
147,63,35,20.2268623,27435,0
148,72,38,21.09691383,27633,0
149,73,38,21.09691383,27653,0
150,73,38,21.09691383,27653,0
